second,Volt
-326.9000E-06,+870.7849252E-03
-326.2000E-06,+873.9688022E-03
-325.5000E-06,+877.5207610E-03
-324.8000E-06,+879.5849168E-03
-324.1000E-06,+881.3907340E-03
-323.4000E-06,+883.1017931E-03
-322.7000E-06,+883.6574294E-03
-322.0000E-06,+884.4146085E-03
-321.3000E-06,+885.4543620E-03
-320.6000E-06,+887.2511159E-03
-319.9000E-06,+889.8552123E-03
-319.2000E-06,+893.0403405E-03
-318.5000E-06,+895.6902815E-03
-317.8000E-06,+898.4416303E-03
-317.1000E-06,+900.7085830E-03
-316.4000E-06,+902.1192155E-03
-315.7000E-06,+903.2523715E-03
-315.0000E-06,+904.0125136E-03
-314.3000E-06,+905.1276473E-03
-313.6000E-06,+906.2209805E-03
-312.9000E-06,+907.6340225E-03
-312.2000E-06,+909.6917376E-03
-311.5000E-06,+912.9488339E-03
-310.8000E-06,+915.1414176E-03
-310.1000E-06,+918.1679461E-03
-309.4000E-06,+920.5304065E-03
-308.7000E-06,+922.0368294E-03
-308.0000E-06,+923.0294784E-03
-307.3000E-06,+924.0531614E-03
-306.6000E-06,+924.7727571E-03
-305.9000E-06,+925.8339406E-03
-305.2000E-06,+927.0401588E-03
-304.5000E-06,+928.8555801E-03
-303.8000E-06,+930.9830627E-03
-303.1000E-06,+933.3728576E-03
-302.4000E-06,+935.5049246E-03
-301.7000E-06,+937.5903532E-03
-301.0000E-06,+940.0693196E-03
-300.3000E-06,+941.2175834E-03
-299.6000E-06,+942.4799566E-03
-298.9000E-06,+943.1363643E-03
-298.2000E-06,+943.9244903E-03
-297.5000E-06,+944.3699913E-03
-296.8000E-06,+944.7379332E-03
-296.1000E-06,+945.2089428E-03
-295.4000E-06,+946.0258150E-03
-294.7000E-06,+947.3736601E-03
-294.0000E-06,+949.3326870E-03
-293.3000E-06,+950.0623960E-03
-292.6000E-06,+952.4894825E-03
-291.9000E-06,+954.1154929E-03
-291.2000E-06,+956.3282030E-03
-290.5000E-06,+958.0008344E-03
-289.8000E-06,+959.1233359E-03
-289.1000E-06,+960.8525928E-03
-288.4000E-06,+962.1566711E-03
-287.7000E-06,+962.6648766E-03
